INSERT INTO `lucky_cooperation`.`t_actuality_cup_goods_day` (year, record_date, goods_id, type, wh_dept_id, cup_amount, create_user, create_time, update_user, update_time) VALUES 
(2022, '2022-01-01', 42, 20, 327193, 209574.74090487804, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-01', 42, 20, 245971, 412112.2170149402, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-01', 42, 20, 245871, 213886.9096140629, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-01', 42, 20, 326932, 213156.0002100612, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-01', 42, 20, 326327, 366316.0705243979, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-01', 42, 20, -1, 1415045.9382683402, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, 327193, 177201.76712698664, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, 245971, 175672.5639390595, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, 245871, 118755.935443289, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, 326932, 284344.7302140615, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, 326327, 106435.21740056042, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-02', 42, 20, -1, 862410.2141239571, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-03', 42, 20, 327193, 180008.2338348918, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-03', 42, 20, 245971, 405992.55800460326, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-03', 42, 20, 245871, 235596.96200585883, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-03', 42, 20, 326932, 385631.85688818473, 1, '2023-06-01', 1, '2023-06-01'),
(2022, '2022-01-03', 42, 20, 326327, 208687.4985033839, 1, '2023-06-01', 1, '2023-06-01'),
