INSERT INTO `lucky_cooperation`.`t_actuality_cup_commodity` (`year`, `commodity_id`, `type`, `january_num`, `february_num`, `march_num`, `april_num`, `may_num`, `june_num`, `july_num`, `august_num`, `september_num`, `october_num`, `november_num`, `december_num`, `total_num`, `create_user`, `create_time`, `update_user`, `update_time`, `wh_dept_id`) VALUES 
('2022', '5352', '10', 47.180040886358896, 49.97224328260164, 39.26059431702055, 41.373379232461374, 28.032566378785408, 13.790528854786487, 7.349947299966364, 35.5660441418755, 42.67328266794016, 15.983346963737688, 43.97440666046154, 4.8097180799935915, 30.830508230499102, 1, '2023-06-01', 1, '2023-06-01', '327193'),
('2022', '5352', '10', 34.49196918652858, 34.18295894993521, 2.719733353610787, 35.64068613883815, 38.55832563346204, 15.695482401060962, 14.527010873725882, 36.467169090998446, 44.68759195534198, 1.2218408610612574, 23.027290981374176, 44.378913164952, 27.133247715907455, 1, '2023-06-01', 1, '2023-06-01', '245971'),
('2022', '5352', '10', 33.50407080882057, 20.891426159185865, 17.730955954030552, 9.392021703945092, 6.131365373225278, 37.671062688514034, 18.841778236031935, 30.394872332302597, 10.058146586474825, 36.50671749851259, 25.182788361229687, 21.570494425645503, 22.322975010659878, 1, '2023-06-01', 1, '2023-06-01', '245871'),
('2022', '5352', '10', 39.49088115778995, 17.3375040538991, 14.005486469268973, 28.509169837177133, 8.870555308251538, 46.31473376438292, 28.030126938117604, 18.160293963570723, 7.7220825313840615, 38.744365216938334, 3.866189591144209, 43.47144797477747, 24.543569733891832, 1, '2023-06-01', 1, '2023-06-01', '326932'),
('2022', '5352', '10', 47.99217108843835, 49.415398310358924, 36.066251823240016, 7.5939335561944095, 47.62568365523898, 6.181827895871739, 32.75501493299874, 31.270988427698487, 16.281871130884873, 17.94294167105263, 25.53537557667359, 15.749038802764986, 27.86754140595131, 1, '2023-06-01', 1, '2023-06-01', '326327'),
('2022', '5352', '10', 16.736842753267943, 8.70030260843192, 12.195871444116047, 1.7061791732328135, 27.188932741336746, 21.250558525285747, 8.470913422414434, 25.985236405197636, 21.806344868100467, 19.140004376159304, 39.16581855661274, 1.0781168428285248, 16.952093476415364, 1, '2023-06-01', 1, '2023-06-01', '-1'),
('2022', '5990', '10', 35.1494583862034, 35.08880763387225, 30.000336683286832, 7.375195915137961, 16.65584340976694, 36.89003009159818, 44.203567686564554, 15.348847388923243, 42.66604843650742, 46.636438126501154, 19.081885188403508, 7.9952640321656165, 28.090976914910925, 1, '2023-06-01', 1, '2023-06-01', '327193'),
('2022', '5990', '10', 29.132773668944612, 47.743451621733904, 6.437922205059254, 5.525565231263091, 32.277287871124386, 41.01386289401359, 29.128643595796365, 23.661842697811803, 46.20572479586383, 27.897973376505792, 25.59554563941675, 15.309251636942033, 27.49415376953961, 1, '2023-06-01', 1, '2023-06-01', '245971'),
('2022', '5990', '10', 31.772035290389596, 15.616299386307709, 12.937950630662803, 39.26273225111687, 35.93840343644426, 47.30702160773542, 14.099552408281674, 36.725288545064025, 34.85347363358708, 37.50669528406909, 38.968947412374646, 27.34266276063813, 31.027588553889277, 1, '2023-06-01', 1, '2023-06-01', '245871'),
('2022', '5990', '10', 9.414601476883682, 26.275067593900665, 42.59224509275544, 47.30444363489735, 17.24612854602192, 6.122752089078737, 13.318579806684234, 39.65975950744852, 18.494585987391936, 27.448547465901374, 15.1153954381257, 3.301827642461186, 22.191161190129232, 1, '2023-06-01', 1, '2023-06-01', '326932'),
('2022', '5990', '10', 38.296450830450986, 19.957568844376905, 42.439280285919075, 30.18717604318705, 4.994612253226016, 1.8738378577244308, 48.22810488789386, 15.686776343555431, 39.10958500516239, 49.697275277691155, 48.2405873700836, 30.678502171790317, 30.7824797642551, 1, '2023-06-01', 1, '2023-06-01', '326327'),
('2022', '5990', '10', 0.20100445338502304, 46.7558672429025, 29.354672969170238, 33.083765425747224, 23.852185048551007, 49.896718723290476, 20.838438769394173, 30.056924673929437, 43.07600711600283, 17.6783725360601, 46.53877665000257, 28.911639370872354, 30.85369774827566, 1, '2023-06-01', 1, '2023-06-01', '-1'),
('2022', '6192', '10', 35.21407039617554, 26.600125742717506, 3.577805763412145, 13.859337665617987, 28.789867941754256, 9.515612361887122, 12.862410077541641, 36.186067985090496, 10.163602385634762, 36.46012156359887, 40.53181762443616, 1.8018439678487097, 21.29689028964293, 1, '2023-06-01', 1, '2023-06-01', '327193'),
('2022', '6192', '10', 28.40027225744704, 42.29237828990207, 25.507403693176055, 7.0799751604752545, 10.908769975007015, 2.2464787971731015, 46.15377915085837, 0.9854786816809735, 31.405346150250523, 3.1873567966792193, 40.337953837367316, 0.6850473773327259, 19.9325200139458, 1, '2023-06-01', 1, '2023-06-01', '245971'),
('2022', '6192', '10', 31.89377886295925, 21.035455546888475, 35.91795987139868, 6.657732586193554, 5.38087015510052, 14.318744384678961, 16.167859645962423, 30.84143393681309, 31.64284595418084, 29.755560923529025, 42.26002901035982, 27.19885697197287, 24.422593987503124, 1, '2023-06-01', 1, '2023-06-01', '245871'),
('2022', '6192', '10', 25.142315527090243, 24.650261810256858, 30.953402508524004, 32.754027446974945, 42.705387727507556, 9.236378138837352, 14.274035049082844, 3.1529726445610695, 49.91164000947504, 7.7907584052821495, 35.93241663883904, 24.938624182324315, 25.120185007396284, 1, '2023-06-01', 1, '2023-06-01', '326932'),
('2022', '6192', '10', 9.967858921281387, 8.46349231855319, 2.5668113548279026, 32.10771352141913, 2.4477789552198095, 7.744369078705765, 9.336384186961993, 31.503446528402556, 25.73357629460989, 8.907162000911894, 45.31417180691108, 43.1483907111552, 18.936762973246648, 1, '2023-06-01', 1, '2023-06-01', '326327'),
('2022', '6192', '10', 41.27475394616197, 25.01812281819083, 14.201526711647682, 37.31326741694762, 3.0861381629778197, 43.23218577268175, 43.38924367723776, 49.405522768716956, 20.563709998872543, 39.72264574222821, 0.9316267316156923, 1.2710109124148272, 26.61747955497447, 1, '2023-06-01', 1, '2023-06-01', '-1'),
('2022', '801', '10', 22.59512349983187, 8.814772419992096, 32.31566228362527, 10.12689530326819, 29.785202781446106, 3.141279180165246, 13.807802263674752, 39.151331502818294, 23.440833156417845, 8.4521107239724, 32.6839078531293, 48.913153924174324, 22.769006241042973, 1, '2023-06-01', 1, '2023-06-01', '327193'),
('2022', '801', '10', 39.21900969386766, 20.170499482396405, 44.77909012227963, 44.781940158746444, 8.47748353020839, 7.215810700191017, 35.75472458618386, 10.663343415211612, 21.714067224375057, 46.27786925653344, 22.85540642495739, 11.154591480598997, 26.088653006295825, 1, '2023-06-01', 1, '2023-06-01', '245971'),
('2022', '801', '10', 7.548666584148917, 43.53175419043094, 0.636210091746231, 7.191224526262102, 25.494412819418503, 19.54871200828478, 30.615722487195658, 11.857086255602928, 10.220678075611344, 25.203021625591116, 44.21554751477515, 11.443165894897229, 19.79218350616374, 1, '2023-06-01', 1, '2023-06-01', '245871'),
('2022', '801', '10', 41.249587327525866, 20.254459130023346, 32.67287723941876, 14.897354455474481, 16.753201167527678, 18.17915850600491, 5.466265655472958, 47.0962573059159, 47.21608480665043, 22.740675207479526, 23.66842061721311, 38.92620250910131, 27.426711993984018, 1, '2023-06-01', 1, '2023-06-01', '326932'),
('2022', '801', '10', 33.28227469755874, 23.57664327312332, 16.28935014017881, 40.95335366176718, 9.961489905900539, 37.85604936258169, 24.81995385366315, 8.405531106777635, 39.18979155955086, 13.363523755668027, 21.958930846520193, 17.569378990972336, 23.935522596188537, 1, '2023-06-01', 1, '2023-06-01', '326327'),
('2022', '801', '10', 28.84652144118341, 16.867398841569287, 12.666409852519827, 29.91913404775634, 15.347716436742582, 20.025022022782075, 22.878139052818742, 25.940443877608928, 28.86811341089952, 26.54546650121049, 22.28273860541592, 1.5538320371163206, 20.978411343968617, 1, '2023-06-01', 1, '2023-06-01', '-1'),
