INSERT INTO `lucky_cooperation`.`t_bi_warehouse_commodity_sale_shop_month` (`wh_dept_id`, `commodity_id`, `mark_type`, `type`, `year`, `january_num`, `january_num`, `february_num`, `march_num`, `april_num`, `may_num`, `june_num`, `july_num`, `august_num`, `september_num`, `october_num`, `november_num`, `december_num`, `total_num`, `create_time`) VALUES 
(327193, 5990, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 5990, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 5990, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(327193, 6192, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 6192, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 6192, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(327193, 5352, 2, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 5352, 2, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(327193, 5352, 2, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245971, 5990, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 5990, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 5990, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245971, 6192, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 6192, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 6192, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245971, 5352, 2, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 5352, 2, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245971, 5352, 2, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245871, 5990, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 5990, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 5990, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245871, 6192, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 6192, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 6192, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(245871, 5352, 2, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 5352, 2, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(245871, 5352, 2, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(326932, 5990, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 5990, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 5990, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(326932, 6192, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 6192, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 6192, 1, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(326932, 5352, 2, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 5352, 2, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326932, 5352, 2, 30, 2022, 1246.2, 1125.6, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 1246.2, 1206.0, 1246.2, 1206.0, 1246.2, 14673.0, '2023-06-01 00:00:00'),
(326327, 5990, 1, 10, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
(326327, 5990, 1, 20, 2022, 623.1, 562.8, 623.1, 603.0, 623.1, 603.0, 623.1, 623.1, 603.0, 623.1, 603.0, 623.1, 7336.5, '2023-06-01 00:00:00'),
