dept_id,goods_id,predict_date,date_type,pred_consume,ro,ss,after_check,high_limit,low_limit,update_time,dt
367678,25533,2023-10-25,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-26,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-27,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-28,3,2,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-29,3,2,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-30,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-31,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-01,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-02,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-03,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-04,3,2,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-05,3,2,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-06,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-11-07,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25533,2023-10-19,3,3,2.0,0,0,3182,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-25,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-26,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-27,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-28,3,26,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-29,3,26,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-30,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-31,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-01,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-02,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-03,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-04,3,26,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-05,3,26,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-06,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-11-07,3,30,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25694,2023-10-19,3,0,3.0,0,0,3274,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-25,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-26,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-27,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-28,3,16,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-29,3,16,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-30,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-31,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-01,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-02,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-03,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-04,3,16,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-05,3,16,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-06,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-11-07,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25708,2023-10-19,3,19,3.0,0,0,3610,0,2023-10-25 13:39:07,2023-10-18
367678,25750,2023-10-25,3,30,2.0,0,0,3277,0,2023-10-25 13:39:07,2023-10-18
